Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-dokument.json	17520	-	0	0	0	0	0	0	15	127	0	0	0	0	0	0	0	0	0	0	15	128	307	0	0	0	4	0	1
fsh-generated/resources/CapabilityStatement-mii-cps-dokument-capabilitystatement.json	12538	8	0	0	1	0	0	0	1	445	0	0	0	0	0	0	0	1	0	0	7	45	76	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-mii-cs-dokument-nlp-processing-status.json	3966	3	0	0	1	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	5	24	119	0	0	0	1	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerAnnotiertesDokument.json	48588	6	0	0	0	0	0	0	1	2003	0	0	0	0	0	0	0	0	0	0	3	67	64	0	0	1	0	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerDeIdentifiziertesDokument.json	11305	3	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	3	25	20	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerOriginalDokument.json	11768	3	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	4	30	28	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerAbteilungskontakt.json	1287	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	11	21	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerEinrichtungskontakt.json	1011	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	9	13	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerVersorgungsstellenKontakt.json	1110	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	3	9	16	0	0	0	0	0	0
fsh-generated/resources/Patient-AmandaAlzheimer.json	654	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	7	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-dokument-nlp-processing-status.json	2746	2	0	22	0	0	0	0	0	398	0	0	0	0	1	0	0	0	0	0	0	85	666	0	1	0	3	0	0
fsh-generated/resources/StructureDefinition-mii-lm-dokument.json	15164	7	0	29	0	0	0	0	0	42	0	0	0	0	0	0	0	1	0	0	3	158	460	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-mii-pr-dokument-dokument.json	56033	19	0	285	0	0	0	0	0	149	0	0	1	0	0	0	0	2	0	0	2	745	2085	0	0	0	35	1	6
fsh-generated/resources/ValueSet-mii-vs-dokument-einrichtungsart.json	1602	2	0	0	0	0	0	0	0	821	0	0	0	0	0	0	0	0	0	0	3	11	330	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-dokument-fachgebiet.json	1132	2	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	2	8	289	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-dokument-format-code.json	1033	2	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	3	9	1889	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-dokument-nlp-processing-status.json	1017	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	9	94	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-dokument-sct-dokument-kategorie.json	1078	2	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	3	9	257	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-dokument-sct-dokument-typ.json	1034	2	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	2	9	247	0	0	0	0	0	0
input/resources/Parameters-expansion-manifest.json	513	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	13	3397	0	0	0	0	0	0
/input/includes/menu.xml	2907	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/includes/breadcrumb-titles-de.txt	1043	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1623	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/researcher-guidance.md	485	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
